API,Count
chrome.extension.getURL,7
chrome.runtime.lastError,6
chrome.contextMenus.create,6
chrome.tabs.onUpdated.addListener,4
chrome.tabs.query,3
chrome.runtime.sendMessage,3
chrome.tabs.sendMessage,2
chrome.tabs.remove,2
chrome.tabs.onRemoved.addListener,2
chrome.tabs.insertCSS,2
chrome.tabs.executeScript,2
chrome.runtime.id,2
chrome.runtime.getManifest,2
chrome.i18n.,2
chrome.extension.sendMessage,2
chrome.extension,2
chrome.browserAction.onClicked,2
chrome.app.getDetails,2
chrome.windows.onFocusChanged.addListener,1
chrome.windows.create,1
chrome.tabs.sendRequest,1
chrome.tabs.onUpdated.removeListener,1
chrome.tabs.onActivated.addListener,1
chrome.tabs.create,1
chrome.tabs.captureVisibleTab,1
chrome.runtime.onMessageExternal.addListener,1
chrome.runtime.onMessage.addListener,1
chrome.runtime.onMessage,1
chrome.i18n.getMessage,1
chrome.i18n,1
chrome.google.com\,1
chrome.google.com,1
chrome.extension.sendRequest,1
chrome.extension.onRequest.addListener,1
chrome.extension.onMessage.addListener,1
chrome.extension.onMessage,1
chrome.extension.getBackgroundPage,1
chrome.contextMenus.removeAll,1
chrome.contextMenus.remove,1
chrome.contextMenus.onClicked.addListener,1
chrome.browserAction.setTitle,1
chrome.browserAction.setPopup,1
chrome.browserAction.setIcon,1
chrome.browserAction.onClicked.removeListener,1
chrome.browserAction.onClicked.hasListener,1
chrome.browserAction.onClicked.addListener,1
chrome.app,1
